x-coordinate,y-coordinate,date,time
473.44,683.33,2024-10-30,19:19:58.672040
492.19,708.33,2024-10-30,19:19:58.711263
489.06,720.83,2024-10-30,19:19:58.775479
482.81,718.75,2024-10-30,19:19:58.810582
475.00,718.75,2024-10-30,19:19:58.843151
460.94,714.58,2024-10-30,19:19:58.875757
439.06,708.33,2024-10-30,19:19:58.904099
418.75,693.75,2024-10-30,19:19:58.934991
418.75,693.75,2024-10-30,19:19:58.939990
393.75,677.08,2024-10-30,19:19:58.983599
367.19,660.42,2024-10-30,19:19:59.015069
340.62,650.00,2024-10-30,19:19:59.047173
321.88,645.83,2024-10-30,19:19:59.078398
310.94,647.92,2024-10-30,19:19:59.110935
296.88,641.67,2024-10-30,19:19:59.175470
293.75,637.50,2024-10-30,19:19:59.226403
293.75,637.50,2024-10-30,19:19:59.247611
292.19,633.33,2024-10-30,19:19:59.261233
292.19,627.08,2024-10-30,19:19:59.287100
289.06,629.17,2024-10-30,19:19:59.319461
292.19,635.42,2024-10-30,19:19:59.350381
300.00,629.17,2024-10-30,19:19:59.383298
314.06,610.42,2024-10-30,19:19:59.417207
329.69,585.42,2024-10-30,19:19:59.448381
342.19,556.25,2024-10-30,19:19:59.496622
348.44,522.92,2024-10-30,19:19:59.528287
356.25,489.58,2024-10-30,19:19:59.560301
370.31,456.25,2024-10-30,19:19:59.592226
387.50,429.17,2024-10-30,19:19:59.627770
407.81,420.83,2024-10-30,19:19:59.659416
428.12,433.33,2024-10-30,19:19:59.687405
450.00,454.17,2024-10-30,19:19:59.720265
468.75,483.33,2024-10-30,19:19:59.767691
489.06,525.00,2024-10-30,19:19:59.799369
501.56,566.67,2024-10-30,19:19:59.831721
503.13,593.75,2024-10-30,19:19:59.863130
506.25,612.50,2024-10-30,19:19:59.894466
501.56,650.00,2024-10-30,19:19:59.926863
485.94,685.42,2024-10-30,19:19:59.959108
456.25,702.08,2024-10-30,19:19:59.992081
428.12,710.42,2024-10-30,19:20:00.045246
401.56,718.75,2024-10-30,19:20:00.076242
375.00,725.00,2024-10-30,19:20:00.103392
342.19,729.17,2024-10-30,19:20:00.136062
312.50,727.08,2024-10-30,19:20:00.170146
285.94,722.92,2024-10-30,19:20:00.199202
259.38,714.58,2024-10-30,19:20:00.230716
232.81,700.00,2024-10-30,19:20:00.279161
232.81,700.00,2024-10-30,19:20:00.288861
215.62,685.42,2024-10-30,19:20:00.311314
192.19,662.50,2024-10-30,19:20:00.374663
181.25,652.08,2024-10-30,19:20:00.409282
167.19,645.83,2024-10-30,19:20:00.442373
156.25,647.92,2024-10-30,19:20:00.477469
143.75,654.17,2024-10-30,19:20:00.503034
143.75,654.17,2024-10-30,19:20:00.522064
125.00,660.42,2024-10-30,19:20:00.551990
109.38,666.67,2024-10-30,19:20:00.583595
100.00,672.92,2024-10-30,19:20:00.615277
98.44,672.92,2024-10-30,19:20:00.646565
104.69,666.67,2024-10-30,19:20:00.679433
110.94,656.25,2024-10-30,19:20:00.712181
128.12,631.25,2024-10-30,19:20:00.775441
128.12,631.25,2024-10-30,19:20:00.786074
137.50,622.92,2024-10-30,19:20:00.825605
146.88,622.92,2024-10-30,19:20:00.858256
156.25,635.42,2024-10-30,19:20:00.891394
164.06,647.92,2024-10-30,19:20:00.919320
171.88,650.00,2024-10-30,19:20:00.951408
182.81,637.50,2024-10-30,19:20:00.983295
195.31,616.67,2024-10-30,19:20:01.014996
210.94,583.33,2024-10-30,19:20:01.062198
226.56,537.50,2024-10-30,19:20:01.094323
32.81,910.42,2024-10-30,19:20:01.126548
82.81,885.42,2024-10-30,19:20:01.158453
103.12,847.92,2024-10-30,19:20:01.192096
120.31,731.25,2024-10-30,19:20:01.224243
131.25,704.17,2024-10-30,19:20:01.260167
131.25,689.58,2024-10-30,19:20:01.291809
125.00,691.67,2024-10-30,19:20:01.335630
118.75,702.08,2024-10-30,19:20:01.367480
92.19,818.75,2024-10-30,19:20:01.399139
87.50,814.58,2024-10-30,19:20:01.432230
79.69,806.25,2024-10-30,19:20:01.463410
54.69,779.17,2024-10-30,19:20:01.497181
48.44,766.67,2024-10-30,19:20:01.527723
46.88,783.33,2024-10-30,19:20:01.560064
46.88,785.42,2024-10-30,19:20:01.609362
43.75,806.25,2024-10-30,19:20:01.642979
42.19,802.08,2024-10-30,19:20:01.676030
170.31,489.58,2024-10-30,19:20:01.704076
87.50,897.92,2024-10-30,19:20:01.736301
110.94,818.75,2024-10-30,19:20:01.766440
148.44,772.92,2024-10-30,19:20:01.799642
192.19,687.50,2024-10-30,19:20:01.831830
192.19,687.50,2024-10-30,19:20:01.848347
228.12,677.08,2024-10-30,19:20:01.880106
250.00,668.75,2024-10-30,19:20:01.912349
225.00,685.42,2024-10-30,19:20:01.978779
153.12,758.33,2024-10-30,19:20:02.008999
110.94,772.92,2024-10-30,19:20:02.042164
101.56,745.83,2024-10-30,19:20:02.075687
70.31,735.42,2024-10-30,19:20:02.120540
